,home,distance,type,assisted,result
0,1,23,3-pt jump shot,0,0
1,1,23,3-pt jump shot,0,0
2,1,3,2-pt layup,0,0
3,1,1,2-pt layup,1,1
4,1,27,3-pt jump shot,0,0
5,1,28,3-pt jump shot,0,0
6,1,3,2-pt layup,0,0
7,1,1,2-pt layup,0,1
8,1,4,2-pt hook shot,0,1
9,1,25,3-pt jump shot,0,1
10,1,25,3-pt jump shot,1,1
11,1,22,3-pt jump shot,0,0
12,1,6,2-pt jump shot,0,1
13,1,1,2-pt layup,0,1
14,1,1,2-pt layup,0,0
15,1,0,2-pt layup,0,1
16,1,11,2-pt jump shot,0,0
17,1,25,3-pt jump shot,0,0
18,1,26,3-pt jump shot,1,1
19,1,19,2-pt jump shot,0,1
20,1,15,2-pt jump shot,0,0
21,1,3,2-pt layup,0,0
22,1,27,3-pt jump shot,0,1
23,0,25,3-pt jump shot,0,0
24,0,3,2-pt layup,0,0
25,0,23,3-pt jump shot,0,0
26,0,3,2-pt layup,0,1
27,0,26,3-pt jump shot,0,0
28,0,2,2-pt layup,1,1
29,0,9,2-pt jump shot,0,0
30,0,26,3-pt jump shot,0,0
31,0,26,3-pt jump shot,0,1
32,0,23,3-pt jump shot,0,0
33,0,1,2-pt dunk,1,1
34,0,23,3-pt jump shot,0,0
35,0,26,3-pt jump shot,1,1
36,0,16,2-pt jump shot,1,1
37,0,23,3-pt jump shot,1,1
38,0,2,2-pt layup,1,1
39,0,25,3-pt jump shot,0,0
40,0,26,3-pt jump shot,1,1
41,0,25,3-pt jump shot,0,0
42,0,25,3-pt jump shot,1,1
43,0,27,3-pt jump shot,1,1
44,0,28,3-pt jump shot,0,0
45,0,21,2-pt jump shot,0,0
46,0,3,2-pt dunk,0,1
47,0,20,2-pt jump shot,0,1
48,0,26,3-pt jump shot,0,0
49,0,13,2-pt jump shot,0,1
50,0,3,2-pt jump shot,0,1
51,0,27,3-pt jump shot,0,0
52,0,19,2-pt jump shot,0,1
53,0,23,3-pt jump shot,0,0
54,0,27,3-pt jump shot,0,0
55,0,3,2-pt jump shot,0,1
56,0,2,2-pt dunk,0,1
57,0,1,2-pt dunk,0,1
58,1,27,3-pt jump shot,0,1
59,1,19,2-pt jump shot,0,0
60,1,26,3-pt jump shot,1,1
61,1,2,2-pt layup,0,1
62,1,24,3-pt jump shot,1,1
63,1,28,3-pt jump shot,0,0
64,1,23,3-pt jump shot,1,1
65,1,25,3-pt jump shot,0,0
66,1,2,2-pt layup,0,0
67,1,6,2-pt jump shot,0,0
68,1,26,3-pt jump shot,1,1
69,1,25,3-pt jump shot,0,0
70,1,22,3-pt jump shot,0,0
71,1,8,2-pt jump shot,0,0
72,1,23,3-pt jump shot,1,1
73,1,0,2-pt layup,0,0
74,1,44,3-pt jump shot,0,0
75,1,2,2-pt layup,0,1
76,1,2,2-pt layup,1,1
77,1,24,3-pt jump shot,1,1
78,1,25,3-pt jump shot,0,1
79,1,26,3-pt jump shot,1,1
80,1,23,3-pt jump shot,0,0
81,1,2,2-pt layup,0,0
82,1,2,2-pt layup,0,0
83,1,23,3-pt jump shot,0,0
84,1,24,3-pt jump shot,0,0
85,1,2,2-pt layup,0,0
86,1,25,3-pt jump shot,1,1
87,1,26,3-pt jump shot,1,1
88,1,23,3-pt jump shot,0,0
89,0,26,3-pt jump shot,0,0
90,0,22,3-pt jump shot,0,0
91,0,25,3-pt jump shot,0,0
92,0,25,3-pt jump shot,0,0
93,0,1,2-pt layup,0,1
94,0,2,2-pt layup,0,0
95,0,25,3-pt jump shot,0,1
96,0,19,2-pt jump shot,0,1
97,0,3,2-pt layup,0,0
98,0,25,3-pt jump shot,1,1
99,0,24,3-pt jump shot,0,0
100,0,26,3-pt jump shot,0,0
101,0,10,2-pt jump shot,0,0
102,0,2,2-pt layup,0,0
103,0,5,2-pt layup,0,0
104,0,23,2-pt jump shot,0,0
105,0,26,3-pt jump shot,1,1
106,0,2,2-pt layup,0,1
107,0,1,2-pt dunk,0,1
108,0,2,2-pt layup,0,0
109,0,26,3-pt jump shot,0,0
