,home,distance,type,assisted,result
0,1,10,2-pt jump shot,0,0
1,1,23,3-pt jump shot,0,0
2,1,1,2-pt layup,0,0
3,1,25,3-pt jump shot,0,0
4,1,25,3-pt jump shot,1,1
5,1,27,3-pt jump shot,0,0
6,1,24,3-pt jump shot,0,0
7,1,3,2-pt jump shot,0,0
8,1,25,3-pt jump shot,1,1
9,1,22,3-pt jump shot,1,1
10,1,1,2-pt dunk,0,1
11,1,2,2-pt dunk,1,1
12,1,26,3-pt jump shot,0,0
13,1,2,2-pt layup,0,0
14,1,18,2-pt jump shot,0,0
15,1,25,3-pt jump shot,1,1
16,1,23,3-pt jump shot,0,0
17,1,1,2-pt layup,0,0
18,1,14,2-pt jump shot,0,0
19,1,0,2-pt dunk,1,1
20,1,26,3-pt jump shot,1,1
21,1,26,3-pt jump shot,1,1
22,1,10,2-pt jump shot,0,0
23,1,0,2-pt layup,0,1
24,1,1,2-pt layup,0,0
25,1,15,2-pt jump shot,0,0
26,1,12,2-pt jump shot,0,1
27,1,0,2-pt dunk,0,1
28,1,5,2-pt jump shot,0,0
29,1,1,2-pt dunk,1,1
30,1,27,3-pt jump shot,0,0
31,1,1,2-pt layup,0,1
32,1,2,2-pt layup,0,1
33,1,2,2-pt layup,0,0
34,1,14,2-pt jump shot,0,1
35,1,9,2-pt jump shot,0,1
36,1,25,3-pt jump shot,0,0
37,1,12,2-pt jump shot,0,0
38,1,25,3-pt jump shot,0,0
39,1,2,2-pt layup,0,0
40,1,25,3-pt jump shot,1,1
41,1,20,2-pt jump shot,0,0
42,1,2,2-pt layup,0,0
43,0,1,2-pt dunk,1,1
44,0,23,3-pt jump shot,1,1
45,0,8,2-pt jump shot,0,0
46,0,12,2-pt jump shot,0,0
47,0,25,3-pt jump shot,0,0
48,0,28,3-pt jump shot,0,0
49,0,25,3-pt jump shot,0,0
50,0,3,2-pt jump shot,0,0
51,0,28,3-pt jump shot,0,0
52,0,25,3-pt jump shot,1,1
53,0,17,2-pt jump shot,0,0
54,0,25,3-pt jump shot,0,0
55,0,26,3-pt jump shot,1,1
56,0,2,2-pt dunk,0,0
57,0,3,2-pt layup,0,0
58,0,25,3-pt jump shot,0,0
59,0,20,2-pt jump shot,0,0
60,0,2,2-pt layup,0,1
61,0,28,3-pt jump shot,0,0
62,0,2,2-pt layup,0,0
63,0,32,3-pt jump shot,0,0
64,0,16,2-pt jump shot,0,0
65,0,2,2-pt layup,0,1
66,0,11,2-pt jump shot,1,1
67,0,18,2-pt jump shot,0,1
68,0,1,2-pt dunk,1,1
69,0,12,2-pt jump shot,0,1
70,0,24,3-pt jump shot,0,0
71,0,26,3-pt jump shot,1,1
72,0,27,3-pt jump shot,0,0
73,0,3,2-pt jump shot,0,0
74,0,23,3-pt jump shot,0,0
75,0,8,2-pt jump shot,0,0
76,0,15,2-pt jump shot,0,0
77,0,26,3-pt jump shot,0,1
78,0,19,2-pt jump shot,0,0
79,0,17,2-pt jump shot,0,0
80,0,3,2-pt dunk,1,1
81,0,12,2-pt jump shot,0,0
82,0,2,2-pt dunk,0,1
83,1,14,2-pt jump shot,0,1
84,1,12,2-pt jump shot,0,1
85,1,2,2-pt layup,0,1
86,1,23,3-pt jump shot,0,0
87,1,10,2-pt jump shot,0,0
88,1,20,2-pt jump shot,0,0
89,1,16,2-pt jump shot,0,0
90,1,2,2-pt layup,0,0
91,1,14,2-pt jump shot,0,1
92,1,5,2-pt jump shot,0,1
93,1,3,2-pt layup,0,0
94,1,18,2-pt jump shot,0,1
95,1,25,3-pt jump shot,1,1
96,1,1,2-pt dunk,1,1
97,1,25,3-pt jump shot,1,1
98,1,24,3-pt jump shot,0,0
99,1,3,2-pt layup,0,0
100,1,25,3-pt jump shot,0,0
101,1,8,2-pt jump shot,0,1
102,1,3,2-pt layup,0,0
103,1,7,2-pt jump shot,0,1
104,1,17,2-pt jump shot,0,0
105,1,14,2-pt jump shot,0,0
106,1,2,2-pt layup,0,1
107,1,2,2-pt layup,0,0
108,1,25,3-pt jump shot,0,0
109,1,25,3-pt jump shot,1,1
110,1,25,3-pt jump shot,1,1
111,1,14,2-pt jump shot,0,1
112,1,26,3-pt jump shot,0,0
113,1,3,2-pt layup,0,1
114,0,16,2-pt jump shot,0,1
115,0,25,3-pt jump shot,1,1
116,0,20,2-pt jump shot,0,1
117,0,2,2-pt layup,0,1
118,0,23,3-pt jump shot,1,1
119,0,25,3-pt jump shot,0,0
120,0,10,2-pt jump shot,0,0
121,0,24,3-pt jump shot,1,1
122,0,28,3-pt jump shot,1,1
123,0,18,2-pt jump shot,0,0
124,0,2,2-pt layup,1,1
125,0,22,3-pt jump shot,0,0
126,0,5,2-pt layup,0,0
127,0,25,3-pt jump shot,0,1
128,0,16,2-pt jump shot,0,0
129,0,12,2-pt jump shot,0,0
130,0,26,3-pt jump shot,1,1
131,0,24,3-pt jump shot,1,1
132,0,15,2-pt jump shot,0,0
133,0,2,2-pt layup,0,0
134,0,1,2-pt layup,0,1
135,0,25,3-pt jump shot,1,1
136,0,26,3-pt jump shot,0,0
137,0,1,2-pt layup,0,1
138,0,9,2-pt jump shot,0,0
139,0,2,2-pt dunk,0,1
140,0,25,3-pt jump shot,0,1
141,0,25,3-pt jump shot,0,0
142,0,5,2-pt layup,0,0
143,0,25,3-pt jump shot,0,0
144,0,2,2-pt layup,0,0
145,0,4,2-pt jump shot,1,1
146,0,12,2-pt jump shot,0,0
147,0,2,2-pt layup,0,0
148,0,20,2-pt jump shot,0,0
149,0,14,2-pt jump shot,0,0
150,0,12,2-pt jump shot,0,1
151,0,14,2-pt jump shot,0,0
152,0,6,2-pt jump shot,0,1
153,0,18,2-pt jump shot,1,1
154,0,11,2-pt jump shot,0,0
155,0,23,3-pt jump shot,0,0
156,0,26,3-pt jump shot,0,0
157,0,2,2-pt layup,1,1
158,0,7,2-pt jump shot,1,1
159,0,2,2-pt layup,0,1
160,0,16,2-pt jump shot,0,0
161,0,6,2-pt jump shot,0,0
162,0,16,2-pt jump shot,0,1
163,0,2,2-pt layup,1,1
164,0,4,2-pt layup,0,0
165,0,5,2-pt layup,0,1
166,0,27,3-pt jump shot,0,0
167,0,1,2-pt layup,0,0
168,0,25,3-pt jump shot,0,0
169,0,12,2-pt jump shot,0,0
170,0,1,2-pt layup,0,1
171,0,1,2-pt layup,0,1
172,0,2,2-pt layup,1,1
173,0,23,3-pt jump shot,1,1
174,0,9,2-pt jump shot,1,1
175,0,20,2-pt jump shot,0,1
176,0,24,3-pt jump shot,1,1
177,0,26,3-pt jump shot,0,0
178,0,25,3-pt jump shot,1,1
179,0,63,3-pt jump shot,0,0
180,0,24,3-pt jump shot,0,0
181,0,1,2-pt layup,0,1
182,0,16,2-pt jump shot,1,1
183,0,7,2-pt jump shot,0,0
184,0,12,2-pt jump shot,0,0
185,0,27,3-pt jump shot,0,0
186,0,28,3-pt jump shot,0,0
187,0,2,2-pt layup,0,1
188,0,16,2-pt jump shot,0,1
189,1,16,2-pt jump shot,0,0
190,1,3,2-pt layup,0,0
191,1,4,2-pt layup,0,0
192,1,3,2-pt layup,0,0
193,1,2,2-pt layup,1,1
194,1,2,2-pt layup,0,0
195,1,15,2-pt jump shot,0,0
196,1,24,3-pt jump shot,0,0
197,1,15,2-pt jump shot,0,0
198,1,1,2-pt layup,0,1
199,1,12,2-pt jump shot,0,1
200,1,14,2-pt jump shot,0,0
201,1,26,3-pt jump shot,0,0
202,1,15,2-pt jump shot,0,0
203,1,14,2-pt jump shot,0,0
204,1,26,3-pt jump shot,0,0
205,1,1,2-pt dunk,0,1
206,1,1,2-pt layup,0,1
207,1,23,3-pt jump shot,0,0
208,1,12,2-pt jump shot,0,1
209,1,25,3-pt jump shot,1,1
210,1,25,3-pt jump shot,0,0
211,1,13,2-pt jump shot,0,1
212,1,22,3-pt jump shot,0,0
213,1,12,2-pt jump shot,1,1
214,1,14,2-pt jump shot,0,0
215,1,11,2-pt jump shot,0,1
216,1,17,2-pt jump shot,1,1
217,1,2,2-pt layup,0,0
218,1,25,3-pt jump shot,1,1
219,1,25,3-pt jump shot,1,1
220,1,26,3-pt jump shot,0,0
221,1,10,2-pt jump shot,0,1
222,1,14,2-pt jump shot,0,1
223,1,26,3-pt jump shot,0,0
224,1,25,3-pt jump shot,1,1
225,1,2,2-pt layup,0,0
226,0,13,2-pt jump shot,0,1
227,0,26,3-pt jump shot,0,1
228,0,2,2-pt dunk,0,0
229,0,11,2-pt jump shot,0,0
230,0,12,2-pt jump shot,1,1
231,0,25,3-pt jump shot,0,0
232,0,12,2-pt jump shot,0,0
233,0,0,2-pt dunk,0,1
234,0,14,2-pt jump shot,0,1
235,0,26,3-pt jump shot,0,0
236,0,18,2-pt jump shot,0,1
237,0,7,2-pt jump shot,0,0
238,0,1,2-pt layup,1,1
239,0,15,2-pt jump shot,0,0
240,0,11,2-pt jump shot,1,1
241,0,16,2-pt jump shot,0,1
242,0,2,2-pt layup,0,1
243,0,18,2-pt jump shot,1,1
244,0,15,2-pt jump shot,0,1
245,0,26,3-pt jump shot,0,0
246,0,4,2-pt layup,0,0
247,0,0,2-pt layup,1,1
248,0,25,3-pt jump shot,0,0
249,0,27,3-pt jump shot,0,0
250,0,2,2-pt layup,0,0
251,0,16,2-pt jump shot,0,0
252,0,27,3-pt jump shot,0,0
253,0,23,3-pt jump shot,1,1
254,0,27,3-pt jump shot,0,0
255,0,23,3-pt jump shot,1,1
256,0,1,2-pt dunk,1,1
257,0,28,3-pt jump shot,1,1
258,0,26,3-pt jump shot,0,0
259,0,8,2-pt jump shot,0,1
260,0,26,3-pt jump shot,0,0
261,0,14,2-pt jump shot,0,0
262,0,16,2-pt jump shot,0,0
263,0,0,2-pt layup,0,1
